episode,epsilon,average_cumulative_reward
69,0.5,41.575158130077654
70,0.5,46.02106358303818
71,0.5,44.810448909908445
72,0.5,46.9358110760438
73,0.5,48.84759048454444
74,0.5,46.552072878351275
75,0.5,45.58990000354534
76,0.5,50.7867746861074
77,0.5,44.68002711023418
78,0.5,51.42790312037612
79,0.5,46.47872004526701
80,0.5,49.33486867044897
81,0.5,42.70575592906626
82,0.5,41.924438466846034
83,0.5,49.14634962950008
84,0.5,39.58322971988393
85,0.5,53.866571474241084
86,0.5,47.64646482061656
87,0.5,44.239755207716314
88,0.5,47.48126191395808
89,0.5,48.05163818677916
90,0.5,49.85458256274341
91,0.5,46.433529334419994
92,0.5,43.225980853098264
93,0.5,50.754285870191886
94,0.5,44.128895808555406
95,0.5,40.297251588203096
96,0.5,41.585134941287095
97,0.5,50.45167215066583
98,0.5,49.77656290195122
99,0.5,45.9731402687531
100,0.5,47.14363154436659
101,0.5,48.208331525110715
102,0.5,48.16258765996934
103,0.5,45.2345323482954
104,0.5,38.21746300456884
105,0.5,42.882347879837454
106,0.5,42.577722364777955
107,0.5,37.836906687760845
108,0.5,47.572274053595336
109,0.5,43.67041816753871
110,0.5,49.240027799571216
111,0.5,44.0768856459144
112,0.5,47.16527611268918
113,0.5,41.74454882100209
114,0.5,45.91021915821904
115,0.5,47.05898760257388
116,0.5,47.85854595814927
117,0.5,44.300725915838704
118,0.5,45.099177348340184
119,0.5,48.31056122213133
120,0.5,49.501871287909225
121,0.5,47.028574709714796
122,0.5,48.565579003019
123,0.5,43.509509007532344
124,0.5,45.82629583428121
125,0.5,44.215034268318874
126,0.5,43.098643040518795
127,0.5,49.19863889413982
128,0.5,48.499016319774235
129,0.5,53.09621358851698
130,0.5,50.52451085915337
131,0.5,44.20100422570179
132,0.5,42.955397748559506
133,0.5,50.79058444295574
134,0.5,51.25557229098122
135,0.5,46.53487518504295
136,0.5,48.16838400304754
137,0.5,45.083829708359474
138,0.5,42.63868403081755
139,0.5,48.21605140069627
140,0.5,48.543224111047806
141,0.5,46.898485539181785
142,0.5,44.894951690435676
143,0.5,43.65582076565086
144,0.5,49.77442505999029
145,0.5,43.151887405285294
146,0.5,43.30442718160343
147,0.5,48.24648533872815
148,0.5,45.418672029017756
149,0.5,42.49122623604475
150,0.5,48.72405269583688
151,0.5,48.221482221057215
152,0.5,46.82250709232872
153,0.5,49.56776845632147
154,0.5,50.42571611247653
155,0.5,45.433133125446105
156,0.5,43.884158620632526
157,0.5,44.95277498001747
158,0.5,46.706168263554666
159,0.5,51.04455480314716
160,0.5,48.50144238001533
161,0.5,48.96009740681896
162,0.5,47.698921185296506
163,0.5,40.06298530381461
164,0.5,45.90904304337268
165,0.5,48.45712115081169
166,0.5,48.572858772181725
167,0.5,51.36413633938323
168,0.5,51.66919438608904
169,0.5,50.763181104481056
170,0.5,50.09198976985445
171,0.5,43.01586343259896
172,0.5,50.16818422701685
173,0.5,45.98744527784866
174,0.5,41.0889606377336
175,0.5,45.19303575156936
176,0.5,49.61475911239923
177,0.5,45.18195519552548
178,0.5,45.84205395546041
179,0.5,40.064169012072306
180,0.5,45.168528518845534
181,0.5,46.124450158668566
182,0.5,47.21576588154026
183,0.5,45.39482960920279
184,0.5,50.48393048485417
185,0.5,47.07387437082902
186,0.5,52.22509740722248
187,0.5,48.91021487798814
188,0.5,39.39147286252014
189,0.5,48.10504870157522
190,0.5,48.828947626670676
191,0.5,47.981572353527675
192,0.5,46.275658605818435
193,0.5,46.86605585953858
194,0.5,47.950617058225916
195,0.5,47.10916442770602
196,0.5,42.91343121741874
197,0.5,48.16075326504877
198,0.5,46.98620564993268
199,0.5,44.93495878427276
